Customer_ID,Salary_Account,Savings_Account,Credit_Card,Personal_Loan,Home_Loan,Car_Loan,Gold_Loan,Fixed_Deposit,Recurring_Deposit,Mutual_Fund,Insurance,Demat_Account,Forex_Card,Travel_Card
CUST101501,1,1,1,0,1,1,0,0,0,0,1,0,1,1
CUST102586,1,1,1,0,0,1,0,0,1,0,0,0,0,0
CUST102653,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CUST101055,0,1,0,0,0,1,0,0,0,1,0,0,1,0
CUST100705,1,1,1,1,0,0,1,0,1,0,0,1,0,0
CUST100106,0,1,0,1,0,1,0,0,0,0,0,0,0,0
CUST100589,1,1,1,0,0,0,0,0,1,0,0,0,0,0
CUST102468,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CUST102413,1,1,1,0,0,0,0,0,1,1,0,0,1,1
CUST101600,1,1,1,0,1,0,0,0,0,0,1,0,0,0
CUST102464,0,1,1,0,0,0,0,0,1,0,0,0,1,0
CUST100228,1,1,1,0,1,0,0,1,0,1,1,0,0,0
CUST100915,1,1,1,0,1,0,0,0,0,0,1,0,1,1
CUST100794,1,1,1,1,0,0,0,0,0,0,1,0,0,1
CUST103021,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CUST103543,1,1,0,0,1,0,0,0,1,1,1,1,0,0
CUST101073,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CUST103351,1,0,1,1,1,0,0,1,1,0,1,0,0,0
CUST101744,0,1,0,0,0,0,0,0,0,1,0,1,0,0
CUST101084,1,1,1,0,1,0,0,0,0,1,1,0,0,0
CUST100926,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CUST103049,1,1,1,0,0,0,0,1,1,0,1,0,0,0
CUST101117,0,1,0,1,0,0,1,0,1,0,0,0,0,0
CUST100642,1,1,1,0,1,0,0,0,0,0,1,0,0,1
CUST104767,1,1,0,1,0,0,0,1,1,0,0,0,0,0
CUST100501,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CUST104066,0,1,0,0,1,0,0,0,0,1,1,1,0,0
CUST100333,0,1,0,0,0,0,0,1,0,0,1,0,0,0
CUST104684,0,1,1,0,0,0,0,0,0,1,0,1,0,0
CUST100486,1,1,0,0,0,0,1,1,1,0,1,0,0,0
CUST101962,0,1,0,0,0,0,0,1,0,0,1,0,0,1
CUST100393,0,1,0,0,0,0,0,0,1,0,0,1,0,0
CUST104842,0,1,0,0,0,0,1,0,0,0,1,0,0,0
CUST104866,1,1,1,0,0,0,0,1,0,0,0,0,0,1
CUST101755,0,1,0,1,0,0,0,1,0,0,1,0,0,0
CUST102515,1,1,1,0,0,0,0,1,0,0,1,0,1,1
CUST103585,0,1,0,0,1,0,0,0,0,0,1,0,0,0
CUST104315,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CUST104966,0,1,0,0,1,1,1,0,1,1,1,1,0,0
CUST102099,0,1,1,0,1,0,0,1,1,1,0,1,1,1
CUST103599,0,1,0,0,0,0,1,1,1,1,1,1,0,0
CUST104121,1,1,1,0,1,1,0,0,1,0,0,0,1,1
CUST100029,0,1,0,0,1,0,0,1,0,1,1,1,1,0
CUST100065,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CUST100838,1,1,1,0,1,1,0,0,0,1,0,0,0,0
CUST103906,0,1,0,1,0,0,0,0,1,0,0,0,0,0
CUST103773,0,1,0,0,1,0,1,1,0,1,1,0,0,0
CUST104635,1,1,1,0,0,0,0,0,0,0,0,0,1,1
CUST103161,1,1,1,1,0,0,0,0,0,0,1,0,0,1
CUST102659,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST104615,0,1,0,0,1,0,1,1,0,1,1,1,0,0
CUST104628,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CUST102451,0,1,0,0,1,0,0,0,0,1,1,0,1,1
CUST102846,0,1,1,0,0,1,0,1,0,1,1,0,1,1
CUST101144,0,1,0,0,0,1,0,1,0,1,1,0,1,1
CUST103078,0,1,0,0,0,0,1,1,0,0,1,0,0,0
CUST101103,0,1,0,0,1,1,0,0,0,1,0,0,0,0
CUST100168,0,1,0,0,0,0,1,1,1,0,0,0,0,0
CUST101670,0,1,0,0,0,0,0,1,0,0,0,0,0,0
CUST102570,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CUST102377,0,1,0,1,0,0,0,0,1,0,0,0,0,0
CUST104395,1,1,0,0,0,0,0,1,1,0,0,0,1,1
CUST104257,1,1,1,0,1,1,0,0,1,0,1,0,1,1
CUST103862,0,1,0,1,0,0,0,0,1,0,1,0,0,0
CUST100023,1,1,0,0,0,0,0,1,1,0,1,0,0,0
CUST102633,1,1,1,0,0,0,0,1,0,0,1,0,1,1
CUST103340,1,1,1,0,0,0,0,1,0,0,0,0,1,1
CUST102215,0,1,0,0,0,0,0,1,0,0,1,0,0,0
